,screen_name,followers_count
372,HONjpNewsBlog,7239
373,dotjp0214,3910
374,asahi_globe,20510
375,JINGUMAEbonobo,4688
376,thinktheearth,6537
377,hhhkkkaaa1220,84
378,setagaya_tanaka,4597
379,LPattern,4158
380,adibuddha888,1392
381,KotaYamaguchi49,8
382,LifeForceNow,2509
383,Shigemura_n,19
384,ecocolo_mag,6158
385,trashyumi,1322
386,kazu0022,31
387,kikanchiiki,4490
388,t_matsumoto,906
389,epublish_now,1360
390,gasasif,1165
391,LOFTPLUSONE,35427
392,dtop_in,8
393,tufs_10dollars,346
394,godard_bot,7596
395,smktMORE,1253
396,chiharakoh,1315
397,KOHJIfujita,674
398,akeemster,570
399,gongonnnnn,541
400,SaToshi23,202
401,m_louis,148
402,reiko_222,645
403,ttmmto5,109
404,nan779,85
405,inazzma,1870
406,akko_ROKU,1467
407,morookanahoko,4036
408,koudafukuo1,8334
409,iinmitharockers,49
410,yohei_kawaguti,480
411,tadanao__,42
412,tomaaya,26
413,ThroughMe_jp,3418
414,shinkenchikusha,30215
415,Eduwell_Journal,7817
416,ECHIGOYA_MUSIC,2937
417,zhtsss,103108
418,black_dharma,382
419,kukunochi,258
420,Empublic,1740
421,sachikaasan,57
422,Ongoing_staff,2316
423,dishizu,229
424,Juzuakamoochy,5084
425,ayabonita,125
426,makishimakaren,9782
427,RumiShishido,76004
428,misaorganico,187
429,ACPC_openair,734
430,omnivalence,5299
431,puma_kun,63
432,akiba2010,182
433,G_Bataille_jp,16508
434,teshigoto_forum,3782
435,fumikeitou,395
436,fujisue,47453
437,Shinkooen_fes10,341
438,DOMECOMBO,253
439,sunamn,2772
440,yuji_fuchigami,2534
441,FTG_FNF,90
442,Blabo_idea,1424
443,daisuke_maki,2619
444,kikikudo,1846
445,fuckmfuck,402
446,makkotron,53
447,nairsora,95
448,daizabu3,4373
449,tomokookuto,828
450,Kadobunofficial,78993
451,mu_mie,136
452,adelie33,2069
453,italriddim,995
454,champagneshower,951
455,LifeTree55,176
456,hatmo,85
457,riemasa,93
458,obakedai,10947
459,ignite_tokyo,665
460,DSZ_news,3608
461,takeokaneiri,2574
462,earth_diver,3891
463,bhutanlink,418
464,junka22,60
465,kirakira0124,2
466,jakob_usability,10743
467,kohaaa,60
468,ojyarin,215
469,nakanishi_Deple,1091
470,HaguroKanko,3558
471,GORUGO,384
472,shampeexxxxx,415
473,KenIto85306,853
474,humahoshi,5318
475,subaru_henshubu,19152
476,shikisha,1842
477,enjyuji,984
478,1002st,704
479,crappyLambkin23,14
480,CARACOLmt,337
481,aveshuhei,1455
482,GOEMON905,1239
483,HEADZ_INFO,6641
484,saitoh_masafumi,1040
485,0_drink,4326
486,doremimuratempa,207
487,junyanumakami,228
488,spread_foto,348
489,mintonpoint,1754
490,Records_,200
491,Legache,237
492,biwayu,107
493,EditorG,885
494,ximjahn,827
495,sbgkag,296
496,Akkinen,10
497,magurogyosen,790
498,domanthan,1174
499,nayamijiten,1716
500,kaoren,560
501,yonekuri,96
502,bena_t,341
503,DOMMUNE,82521
504,organicatokyo,749
505,loco2kit,7970
506,satisati8877,531
507,naagita,4701
508,ohagurobamigaki,21
509,kanakoo,168
510,futagoya,1032
511,sasakitoshinao,780219
512,ikegami4040,242
513,slowcomedysaba,2274
514,rotten__,477
515,o_i_dexx,327
516,adats,688
517,tomohy,2384
518,rimofrommocrock,721
519,wakufactory,1545
520,_atsuko,2141
521,mahoishit,572
522,Blastbeat_JPN,1327
523,schapentellen,115
524,shuzo_matsuoka,290037
525,asao_keiichiro,64854
526,sekitas,462
527,140Artist,8607
528,mishimasha,25898
529,cotani,422
530,YINGUO,4557
531,mabuchina,57
532,SNOOPYbot,460815
533,flyingtiger1217,926
534,webdevAAA,403
535,hootsuite,7609915
536,TAKEUCHIDESU,186
537,860k,24
538,koburn,977
539,Kameda22,742
540,metakit,5626
541,celebourg,283
542,anegowine,739
543,fukazawako,229
544,rogeryamaha,1423
545,lessthantv,6210
546,miremon,411
547,yosifuji,878
548,Tats_y,2528
549,shokokawagoe,25
550,watarigarasu,7
551,kanasiki,282
552,kyks,1850
553,kobaerio,224
554,VincentRadio,3253
555,babyrecordsjp,959
556,senomin,2478
557,seiji_ohsaka,66522
558,naokiring,2440
559,tvvt,1072
560,WAVE4TUNES,354
561,smi3,712
